Obor,Název,Odkaz
MULTIOBOROVÉ ZDROJE,,
,Academic Search Complete / Ultimate,"http://search.ebscohost.com/login.aspx?authtype=ip,url&profile=ehost&defaultdb=asn"
,"JSTOR I, II, III, V, VI",http://www.jstor.org/
,Oxford Journals Full Collection,https://academic.oup.com/journals
,ScienceDirect Freedom Collection,http://www.sciencedirect.com/
,SpringerLink,http://www.springerlink.com/
,Taylor & Francis,http://www.tandfonline.com/
,Wiley Online Library,http://onlinelibrary.wiley.com/
HUMANITNÍ VĚDY,,
,Brepolis,http://apps.brepolis.net/BrepolisPortal/default.aspx
,Film Television Literature Index with Full Text,"http://search.ebscohost.com/login.aspx?authtype=ip,url&profile=ehost&defaultdb=f3h"
,Library and Information Science,"http://search.ebscohost.com/login.aspx?authtype=ip,url&profile=ehost&defaultdb=lls"
,Literature Online,http://literature.proquest.com/
,Literature Resource Center,http://go.galegroup.com/ps/dispBasicSearch.do?userGroupName=karlova&prodId=LitRC
,Oxford English Dictionary,http://oed.com/
,PsycInfo,"http://search.ebscohost.com/login.aspx?authtype=ip,url&profile=ehost&defaultdb=psyh"
,SocIndex with Full Text,"http://search.ebscohost.com/login.aspx?authtype=ip,url&profile=ehost&defaultdb=sih"
MEDICÍNA,,
,American Association for Cancer Research Publications,http://aacrjournals.org/
,BMJ Journals Online,http://group.bmj.com/products/journals/
,Evidence-Based Medicine (EBM) Reviews,http://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&PAGE=main&D=ebmz
,Karger Journals – Current Program,http://content.karger.com/Journal
,Lippincott Williams & Wilkins High Impact Collection,http://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&PAGE=browse&D=yrovft
PŘÍRODNÍ VĚDY,,
,ACM Digital Library,https://dl.acm.org/
,American Mathematical Society Journals,http://www.ams.org/journals
,American Physical Society e-Journals,http://publish.aps.org/
,"BioOne 1, BioOne2",http://www.bioone.org/
,GeoRef,http://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&PAGE=main&D=gref
,GeoScienceWorld,http://www.geoscienceworld.org/
,IEEE/IET Electronic Library,http://ieeexplore.ieee.org/
,IOPscience,http://iopscience.iop.org/
,MathSciNet,http://www.ams.org/mathscinet/
,"Reaxys (Beilstein, Gmelin & Patent Chemistry Databases)",https://new.reaxys.com/
,RSC Gold (Royal Society of Chemistry),http://pubs.rsc.org/en/journals?key=title&value=all
,SciFinder ( Chemical Abstracts),http://scifinder.cas.org/
HODNOCENÍ VĚDY,,
,Scopus,http://www.scopus.com/
,Web of Science,http://www.webofknowledge.com/
EKONOMIE,,
,OECD iLibrary,http://www.oecd-ilibrary.org/
PRÁVO,,
,Beck Online,https://www.beck-online.cz/bo/index.seam
SPORT,,
,SportDiscuss with Full texts,"http://search.ebscohost.com/login.aspx?authtype=ip,url&profile=ehost&defaultdb=s3h"
,,
,,
,,
,,
,,
